"بازگشایی
؟","کمترین
؟","بیشترین
؟","پایانی
؟",میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
"704,950","699,800","709,200","704,000",2600,0.37%,2024/11/29,1403/09/09
"699,300","698,800","701,700","701,400",2350,0.34%,2024/11/27,1403/09/07
"695,750","695,600","699,700","699,050",3100,0.45%,2024/11/26,1403/09/06
"693,350","693,300","699,700","695,950",2250,0.32%,2024/11/25,1403/09/05
"687,400","679,800","694,700","693,700",4100,0.59%,2024/11/24,1403/09/04
"698,000","686,800","700,800","689,600",9450,1.37%,2024/11/23,1403/09/03
"697,400","697,200","703,300","699,050",6800,0.98%,2024/11/22,1403/09/02
"689,900","689,500","694,800","692,250",2950,0.43%,2024/11/20,1403/08/30
"690,250","688,700","695,300","689,300",250,0.04%,2024/11/19,1403/08/29
"683,850","682,700","689,800","689,050",4600,0.67%,2024/11/18,1403/08/28
"680,950","680,700","684,700","684,450",2700,0.4%,2024/11/17,1403/08/27
"682,200","681,250","688,800","681,750",650,0.1%,2024/11/16,1403/08/26
"683,750","680,200","685,800","682,400",900,0.13%,2024/11/15,1403/08/25
"682,300","677,700","683,800","683,300",1100,0.16%,2024/11/13,1403/08/23
"679,450","679,200","688,800","684,400",6200,0.91%,2024/11/12,1403/08/22
"668,800","668,700","681,300","678,200",9000,1.34%,2024/11/11,1403/08/21
"682,300","669,200","682,500","669,200",13450,2.01%,2024/11/10,1403/08/20
"691,800","682,200","692,800","682,650",9550,1.4%,2024/11/09,1403/08/19
"695,400","692,000","695,700","692,200",1750,0.25%,2024/11/08,1403/08/18
"696,100","686,700","696,300","690,450",5800,0.84%,2024/11/06,1403/08/16
"698,550","694,000","698,800","696,250",7350,1.07%,2024/11/05,1403/08/15
"689,400","683,200","689,800","688,900",700,0.1%,2024/11/04,1403/08/14
"694,200","686,700","694,300","689,600",3650,0.53%,2024/11/03,1403/08/13
"694,500","689,700","701,500","693,250",1550,0.22%,2024/11/02,1403/08/12
"683,650","683,200","695,300","694,800",12500,1.83%,2024/11/01,1403/08/11
"687,500","680,200","687,600","682,300",10100,1.48%,2024/10/30,1403/08/09
"683,750","680,200","697,800","692,400",8400,1.23%,2024/10/29,1403/08/08
"673,800","673,200","689,250","684,000",9200,1.36%,2024/10/28,1403/08/07
"660,550","660,200","674,800","674,800",13950,2.11%,2024/10/27,1403/08/06
"654,700","654,350","667,300","660,850",5550,0.85%,2024/10/26,1403/08/05
"658,950","652,800","679,000","655,300",24200,3.69%,2024/10/25,1403/08/04
"676,750","674,900","685,300","679,500",2200,0.32%,2024/10/23,1403/08/02
"663,150","663,000","684,800","677,300",15800,2.39%,2024/10/22,1403/08/01
"648,850","648,350","661,600","661,500",12950,2%,2024/10/21,1403/07/30
"642,050","641,600","648,600","648,550",6600,1.03%,2024/10/20,1403/07/29
"637,950","637,900","645,950","641,950",2350,0.37%,2024/10/19,1403/07/28
"633,850","633,600","640,000","639,600",3000,0.47%,2024/10/18,1403/07/27
"633,500","633,300","638,800","636,600",3250,0.51%,2024/10/16,1403/07/25
"626,850","626,800","638,200","633,350",5700,0.91%,2024/10/15,1403/07/24
"630,350","626,100","630,800","627,650",3850,0.61%,2024/10/14,1403/07/23
"628,050","628,000","634,800","631,500",3050,0.49%,2024/10/13,1403/07/22
"624,750","624,700","630,600","628,450",3500,0.56%,2024/10/12,1403/07/21
"631,100","624,700","631,300","624,950",10550,1.69%,2024/10/11,1403/07/20
