"بازگشایی
؟","کمترین
؟","بیشترین
؟","پایانی
؟",میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
"52,543,000","52,330,000","52,940,000","52,478,000",60000,0.11%,2025/01/18,1403/10/29
"52,356,000","51,751,000","52,790,000","52,538,000",240000,0.46%,2025/01/17,1403/10/28
"52,582,000","51,970,000","52,582,000","52,298,000",289000,0.55%,2025/01/15,1403/10/26
"52,762,000","52,536,000","52,931,000","52,587,000",697000,1.33%,2025/01/14,1403/10/25
"52,836,000","52,836,000","53,538,000","53,284,000",450000,0.85%,2025/01/12,1403/10/23
"53,524,000","52,790,000","53,549,000","52,834,000",701000,1.33%,2025/01/11,1403/10/22
"52,831,000","52,831,000","53,801,000","53,535,000",685000,1.3%,2025/01/10,1403/10/21
"52,732,000","52,617,000","52,944,000","52,850,000",132000,0.25%,2025/01/08,1403/10/19
"52,247,000","52,007,000","52,730,000","52,718,000",478000,0.92%,2025/01/07,1403/10/18
"51,169,000","51,169,000","52,510,000","52,240,000",1066000,2.08%,2025/01/06,1403/10/17
"51,213,000","50,860,000","51,308,000","51,174,000",32000,0.06%,2025/01/05,1403/10/16
"51,596,000","51,195,000","51,795,000","51,206,000",358000,0.7%,2025/01/04,1403/10/15
"51,982,000","51,098,000","51,982,000","51,564,000",392000,0.76%,2025/01/03,1403/10/14
"52,169,000","51,931,000","52,326,000","51,956,000",229000,0.44%,2025/01/01,1403/10/12
"52,430,000","51,945,000","52,430,000","52,185,000",228000,0.44%,2024/12/31,1403/10/11
"52,298,000","51,956,000","52,621,000","52,413,000",108000,0.21%,2024/12/30,1403/10/10
"51,629,000","51,007,000","52,425,000","52,305,000",693000,1.34%,2024/12/29,1403/10/09
"52,621,000","51,190,000","52,972,000","51,612,000",1018000,1.97%,2024/12/28,1403/10/08
"51,421,000","51,421,000","52,649,000","52,630,000",1198000,2.33%,2024/12/27,1403/10/07
"50,763,000","50,629,000","51,495,000","51,432,000",655000,1.29%,2024/12/25,1403/10/05
"50,490,000","49,918,000","50,894,000","50,777,000",284000,0.56%,2024/12/24,1403/10/04
"49,890,000","49,885,000","50,673,000","50,493,000",621000,1.25%,2024/12/23,1403/10/03
"49,075,000","49,024,000","50,223,000","49,872,000",801000,1.63%,2024/12/22,1403/10/02
"48,902,000","48,362,000","49,103,000","49,071,000",153000,0.31%,2024/12/21,1403/10/01
"48,715,000","48,632,000","49,170,000","48,918,000",208000,0.43%,2024/12/20,1403/09/30
"49,673,000","48,574,000","49,724,000","48,710,000",984000,2.02%,2024/12/18,1403/09/28
"49,105,000","49,105,000","49,879,000","49,694,000",570000,1.16%,2024/12/17,1403/09/27
"49,431,000","49,084,000","49,795,000","49,124,000",293000,0.6%,2024/12/16,1403/09/26
"48,463,000","48,463,000","49,581,000","49,417,000",882000,1.82%,2024/12/15,1403/09/25
"48,683,000","48,371,000","48,872,000","48,535,000",141000,0.29%,2024/12/14,1403/09/24
"48,191,000","48,140,000","48,948,000","48,676,000",494000,1.03%,2024/12/13,1403/09/23
